,Long Swap USDPLN,Short Swap USDPLN,1st Close,2nd Close,1st Exposure,2nd Exposure,Dzienny Profit,Long Swap USDNOK,Short Swap USDNOK,Daily P/L
2014-07-22,-5.671296296296296e-05,4.777777777777778e-05,6.18759,3.07995,100134.5323135148,-100000,-393.9677092890397,-5.593607305936073e-05,4.7123287671232866e-05,-393.32167792613217
2014-07-23,-5.671296296296296e-05,4.777777777777778e-05,6.19452,3.07533,100134.5323135148,-100000,262.55124889836225,-5.593607305936073e-05,4.7123287671232866e-05,263.2006233701823
2014-07-24,-5.177777777777778e-05,4.563492063492063e-05,6.19996,3.08063,100134.5323135148,-100000,-94.45487907738698,-5.1068493150684934e-05,4.5009784735812134e-05,-93.79832763115225
2014-07-25,-5.439814814814815e-05,4.5555555555555546e-05,6.2189,3.0867,100134.5323135148,-100000,87.39584194888812,-5.365296803652968e-05,4.493150684931506e-05,88.00780679028266
2014-07-28,-5.439814814814815e-05,4.5555555555555546e-05,6.22962,3.08859,100134.5323135148,-100000,100.6597193254247,-5.365296803652968e-05,4.493150684931506e-05,101.27226765135593
2014-07-29,-5.50925925925926e-05,4.622222222222223e-05,6.24586,3.09664,100134.5323135148,-100000,-21.14767516100619,-5.4337899543379e-05,4.558904109589042e-05,-20.526170963624594
2014-07-30,-6.48148148148148e-05,4.849726775956284e-05,6.25515,3.11166,100134.5323135148,-100000,-356.0957191166244,-6.39269406392694e-05,4.78329216258702e-05,-355.5605171794449
2014-07-31,-5.578703703703704e-05,4.688888888888888e-05,6.28214,3.12327,100134.5323135148,-100000,25.907988765945447,-5.502283105022831e-05,4.624657534246575e-05,26.5322247322879
2014-08-01,-5.787037037037037e-05,4.88888888888889e-05,6.26179,3.13132,100134.5323135148,-100000,-568.7267494617645,-5.707762557077626e-05,4.821917808219178e-05,-568.078211369331
2014-08-04,-6.610082304526749e-05,5.0275482093663915e-05,6.2622,3.11522,100134.5323135148,-100000,532.324310252804,-6.519533231861998e-05,4.958677685950414e-05,532.8956827254084
2014-08-05,-5.671296296296296e-05,4.777777777777778e-05,6.27915,3.13247,100134.5323135148,-100000,-308.245329106222,-5.593607305936073e-05,4.7123287671232866e-05,-307.6121069754248
2014-08-06,-5.671296296296296e-05,4.777777777777778e-05,6.25888,3.16019,100134.5323135148,-100000,-1198.066275119431,-5.593607305936073e-05,4.7123287671232866e-05,-1197.4493207444018
2014-08-07,-5.717592592592593e-05,4.822222222222222e-05,6.25685,3.157,100134.5323135148,-100000,71.23047473103816,-5.639269406392694e-05,4.7561643835616434e-05,71.85543673240183
2014-08-08,-5.787037037037037e-05,4.88888888888889e-05,6.2292,3.1581,100134.5323135148,-100000,-455.2681204184273,-5.707762557077626e-05,4.821917808219178e-05,-454.63759702842503
2014-08-11,-5.902777777777777e-05,4.9999999999999996e-05,6.18786,3.14012,100134.5323135148,-100000,-57.131013507145326,-5.821917808219179e-05,4.9315068493150684e-05,-56.48084470213863
2014-08-12,-6.0226155358898735e-05,5.178907721280602e-05,6.179,3.15782,100134.5323135148,-100000,-706.2372847699489,-5.940113953206451e-05,5.107963779893197e-05,-705.5598908666321
2014-08-13,-5.578139114724481e-05,4.88888888888889e-05,6.15671,3.14645,100134.5323135148,-100000,17.82022313574089,-5.501726250139214e-05,4.821917808219178e-05,18.479185588855245
2014-08-14,-5.787037037037037e-05,4.88888888888889e-05,6.15315,3.1381,100134.5323135148,-100000,213.930352701429,-5.707762557077626e-05,4.821917808219178e-05,214.5594020759034
2014-08-15,-5.787037037037037e-05,4.88888888888889e-05,6.13096,3.14361,100134.5323135148,-100000,-526.3667635597158,-5.707762557077626e-05,4.821917808219178e-05,-525.7438067083897
2014-08-18,-5.646630236794172e-05,4.828042328042328e-05,6.15618,3.13716,100134.5323135148,-100000,604.1714566971423,-5.569279137660005e-05,4.761904761904762e-05,604.8045599113071
2014-08-19,-5.671296296296296e-05,4.911111111111111e-05,6.16983,3.14337,100134.5323135148,-100000,12.06450283077902,-5.593607305936073e-05,4.8438356164383555e-05,12.719048073821137
2014-08-20,-5.810185185185185e-05,4.911111111111111e-05,6.19535,3.1629,100134.5323135148,-100000,-230.83833355906245,-5.7305936073059365e-05,4.8438356164383555e-05,-230.2118368714442
